"Moška imena po: IME, MERITVE , LETO"
"Danjel";142;140;137;137;135;132
"Danko";69;68;70;68;64;66
"Dano";5;5;5;5;5;5
"Dante";13;12;12;12;15;15
"Dany";5;5;5;-;-;-
"Dardan";19;21;20;24;22;29
"Dare";22;21;22;22;23;22
"Darian";16;18;19;19;19;20
"Darij";133;133;131;126;126;125
"Darijan";119;120;121;121;123;122
"Darijo";131;130;130;130;127;128
"Darin";18;18;19;18;18;19
"Darinko";43;43;43;43;43;43
"Darino";5;5;5;5;5;5
"Dario";373;373;389;393;404;410
"Daris";14;16;20;29;38;52
"Darjan";387;389;386;386;386;387
"Darjo";252;253;252;251;251;247
"Darko";6241;6218;6245;6213;6189;6164
"Daroslav";8;8;8;8;7;7
"Darvin";8;9;9;9;9;9
"Dashmir";-;-;6;6;6;7
"Dashnor";-;6;5;6;7;6
"Dašmir";7;8;9;8;7;6
"Dašo";6;6;6;7;7;7
"Daut";25;29;32;26;27;27
"David";7170;7314;7477;7638;7815;7988
"David Aleksander";-;-;-;-;-;5
"David John";-;-;-;5;-;-
"David Peter";-;-;-;5;5;5
"Davide";12;14;15;18;22;21
"Davor";1197;1202;1222;1229;1226;1233
"Davorin";1481;1470;1466;1451;1456;1445
"Davorin Martin";5;5;-;5;5;5
"Davud";11;13;14;20;21;28
"Dean";623;623;638;639;638;639
"Dedo";15;17;16;15;14;15
"Deen";5;5;7;8;8;8
"Defrim";5;8;9;10;10;12
"Dejan";7943;7956;8014;8008;8021;8037
"Dejanèo";6;-;-;-;-;-
"Dejvi";10;10;10;10;11;12
"Dejvid";48;51;53;52;52;53
"Dejvis";5;5;5;5;5;5
"Delèo";5;-;-;-;-;-
"Demeter";5;-;-;-;-;-
"Demetrij";19;19;19;19;19;18
"Demian";9;10;10;10;10;11
"Demir";51;60;66;66;68;71
"Demirali";-;5;5;-;-;-
"Demirel";6;7;7;7;7;7
"Demis";9;9;9;9;8;8
"Demiš";5;5;5;5;-;-
"Demitrij";13;13;13;14;13;13
"Demuš";5;5;5;5;6;6
"Den";14;15;16;16;16;16
"Deni";109;110;112;116;119;122
"Denijal";8;8;9;9;9;8
"Denis";4982;5045;5096;5117;5141;5151
"Deniz";7;7;7;7;7;5
"Dennis";33;32;35;36;37;35
"Deny";5;5;6;6;6;6
"Denys";5;6;6;6;7;7
"Derviš";67;70;72;71;69;65
"Dervo";5;5;5;5;5;5
"Desimir";51;51;52;49;48;46
"Destan";8;8;10;9;10;10
"Devid";11;11;11;12;12;12
"Devin";-;-;-;-;5;5
"Devis";10;10;9;9;9;9
"Dezider";43;40;40;39;38;36
"Deziderij";25;25;24;23;23;22
"Deyan";6;7;7;5;5;6
"Deyancho";-;-;-;-;-;5
"Dian";-;-;-;-;5;6
"Diar";-;-;-;5;7;10
"Dibran";7;9;9;9;9;11
"Diego";44;45;47;54;56;54
"Dieter";6;7;7;7;7;6
"Dijego";6;7;7;7;7;7
"Diko";6;6;6;6;6;6
"Dilan";-;-;-;-;-;5
"Dilaver";7;7;7;6;7;8
"Dimche";-;7;7;9;13;13
"Dimèe";17;15;13;13;10;9
"Dimèo";-;6;7;-;-;-
"Dime";7;6;6;6;6;6
"Dimitar";33;32;31;34;35;41
"Dimitri";13;14;15;15;16;18
"Dimitrij";336;337;339;334;331;325
"Dimitrija";19;18;19;19;18;19
"Dimitrije";73;71;69;64;61;59
"Din";72;81;91;106;129;141
"Dine";5;5;-;5;6;6
"Dinko";57;59;57;58;56;57
"Dino";400;419;438;444;462;465
"Dion";8;12;13;15;21;23
"Dionis";5;6;-;5;7;7
"Dionizij";16;16;16;16;14;13
"Djafer";7;7;6;6;5;5
"Djego";7;7;7;7;7;7
"Djelal";-;-;5;-;-;-
"Djemal";9;9;11;12;11;10
"Djerdj";5;6;5;5;5;-
"Djevad";18;18;19;19;19;20
"Djevat";7;10;8;7;8;9
"Djevdet";-;-;-;5;-;-
"Djoka";7;8;8;8;8;8
"Djoko";10;11;10;10;10;9
"Djordje";88;86;86;82;84;80
"Djordjo";42;41;41;40;39;39
"Djura";8;8;8;8;8;8
"Djuradj";32;32;30;28;27;27
"Djuro";105;97;92;87;83;80
"Dmitar";15;15;15;15;15;16
"Dmitri";-;-;-;-;5;5
"Dmitrij";-;5;5;5;6;7
"Dmitry";-;-;-;5;7;16
"Dmytro";6;7;6;6;7;9
"Dobran";5;5;5;5;5;-
"Dobre";17;17;20;20;22;20
"Dobri";6;6;7;7;6;7
"Dobrica";11;11;13;12;11;11
"Dobrinko";8;8;8;8;7;8
"Dobrivoj";15;14;15;15;15;14
"Dobrivoje";60;60;58;56;55;55
"Dobromir";-;-;5;5;5;-
"Dobrosav";11;11;12;12;12;12
"Dobroslav";6;6;6;6;6;6
"Dojèin";8;9;10;9;8;9
"Dolfe";5;5;5;5;5;5
"Domagoj";18;19;19;20;23;22
"Domen";3247;3326;3394;3454;3507;3569
"Domenico";7;5;5;5;-;5
"Domin";10;11;11;11;12;12
"Dominic";-;5;5;-;5;6
"Dominik";1615;1634;1634;1647;1674;1691
"Dominko";15;15;14;14;14;15
"Don";16;18;18;18;21;21
"Donald";16;15;15;16;17;18
"Donart";-;-;-;-;6;7
"Donat";11;11;8;8;7;7
"Donato";5;5;5;-;-;-
"Done";9;9;6;6;6;6
"Donovan";7;7;7;7;7;7
"Dore";6;6;6;6;6;6
"Dorian";70;76;81;95;95;101
"Dorijan";34;38;40;42;44;45
"Dorjan";37;38;39;40;40;40
"Dorjano";8;8;8;8;8;8
"Dorko";5;5;5;5;5;5
"Dorotej";20;22;21;21;23;24
"Dragan";2322;2320;2406;2383;2396;2454
"Dragancho";-;-;-;-;-;5
"Draganèo";-;5;-;-;-;-
"Drage";10;7;8;7;10;9
"Dragec";7;7;7;7;7;7
"Dragi";60;59;65;60;60;64
"Dragislav";-;-;-;-;5;5
"Dragiša";151;151;155;150;151;149
"Dragiæ";17;18;17;16;16;17
"Drago";6270;6199;6142;6079;6033;5966
"Drago Franc";7;7;7;6;6;6
"Drago Karel";7;8;8;8;7;7
"Drago Karl";5;5;5;6;6;6
"Dragoja";24;25;23;23;23;23
"Dragoje";11;11;12;11;12;11
"Dragoljub";241;239;250;249;248;243
"Dragomil";21;20;20;17;17;16
"Dragomir";379;379;386;378;371;368
"Dragorad";7;7;7;6;7;7
"Dragoslav";203;203;209;206;204;214
"Dragoš";6;6;6;6;5;7
"Dragotin";249;241;235;231;223;213
"Dragovan";5;5;5;5;5;5
"Dragutin";741;738;719;700;687;677
"Draško";59;57;66;62;66;64
"Dražan";12;11;13;13;12;11
"Draže";-;-;5;-;-;-
"Dražen";245;245;259;260;271;277
"Draženko";59;59;68;66;63;69
"Drejc";78;90;96;104;111;118
"Dren";6;6;9;12;12;13
"Drilon";9;10;15;17;17;17
"Dritan";-;-;-;-;-;5
"Driton";58;62;75;76;68;73
"Dubravko";58;59;60;58;61;60
"Duilij";5;5;5;-;-;-
"Durak";5;5;5;-;-;-
"Durim";9;9;13;12;12;13
"Dursum";25;25;27;26;26;26
"Dushan";-;-;-;-;5;9
"Dushko";-;7;7;9;11;13
"Dušan";8547;8481;8421;8318;8253;8196
"Dušan Anton";5;6;6;6;6;6
"Dušan Franc";15;15;15;15;14;14
"Dušan Janez";6;6;6;6;5;5
"Dušan Stanislav";5;5;5;5;5;5
"Duško";459;470;484;470;474;474
"Džabir";6;6;6;5;-;-
"Džafer";33;29;30;29;26;27
"Džan";12;11;11;11;15;15
"Džanan";-;-;6;6;7;7
"Džavid";11;11;10;8;9;9
"Džavit";12;8;8;7;5;5
"Džejlan";-;-;-;-;-;7
"Dželadin";-;5;5;5;6;5
"Dželal";11;9;7;8;7;6
"Dželjalj";5;-;-;-;-;-
"Džemail";23;23;22;18;16;16
"Džemal";143;139;145;135;142;143
"Džemil";25;25;25;25;23;26
"Džemo";14;12;14;14;14;16
"Dženan";17;17;21;24;29;28
"Dženis";9;10;11;11;11;13
"Dževad";267;270;306;298;298;298
"Dževair";8;8;9;9;9;8
"Dževat";17;17;17;15;11;10
"Dževdet";20;18;21;18;14;13
"Džezmi";-;5;-;-;-;-
"Džimi";-;-;5;-;5;-
"Džoni";12;12;11;11;11;11
"Džordže";5;5;5;5;5;-
"Dylan";-;-;-;-;5;-
"Dániel";-;5;5;5;-;-
"Ecij";7;7;7;7;7;7
"Ecijo";11;11;9;9;9;9
"Ecio";19;19;19;19;19;19
"Edbin";13;14;13;13;12;12
"Edgar";6;6;6;6;6;6
"Edham";16;17;18;17;16;17
"Edhem";67;63;65;62;60;60
"Edi";603;600;604;614;612;608
"Edib";14;13;14;14;15;14
"Edim";5;7;7;-;7;7
"Edin";806;818;896;885;893;916
"Edip";9;9;9;9;9;9
"Edis";242;260;284;277;285;298
"Edison";16;18;17;20;19;25
"Edit";5;5;5;5;5;6
"Edmir";11;9;14;12;11;14
"Edmond";45;48;49;51;51;52
"Edmund";53;50;49;49;49;47
"Edo";271;269;264;269;268;266
"Edoardo";5;6;6;5;5;5
"Edon";13;16;17;18;21;21
"Edonis";-;-;-;5;7;7
"Edonit";-;-;-;-;5;5
"Eduard";118;114;115;111;111;109
"Eduardo";-;-;-;-;-;5
"Edvard";2763;2705;2654;2601;2557;2517
"Edvard Franc";6;5;-;-;-;-
"Edvin";369;379;390;389;398;395
"Edward";-;5;5;6;6;5
"Edwin";5;5;5;5;5;5
"Eftim";-;-;5;5;5;5
"Egidij";123;120;117;114;113;109
"Egidio";15;14;14;14;13;12
"Egon";388;389;390;389;387;387
"Egzon";34;41;45;48;51;51
"Ejub";44;42;46;45;44;42
"Ejup";14;16;16;14;13;13
"Ekram";-;5;-;-;-;-
"Ekrem";204;202;216;211;205;209
"Elbasan";8;8;10;12;11;11
"Eldar";23;18;23;27;30;38
"Eldi";-;-;-;-;-;5
"Eldin";125;117;137;139;145;153
"Eldis";6;9;13;13;13;12
"Elek";19;17;15;14;14;14
"Elemer";14;14;14;14;14;13
"Elemir";14;14;14;13;13;12
"Elez";12;11;15;16;16;15
"Elfat";-;5;7;8;9;8
"Elham";-;-;-;-;5;5
"Elhan";-;-;5;6;8;11
"Elian";-;-;5;5;6;6
"Elias";12;12;15;18;20;21
"Elija";9;14;16;19;22;21
"Elijo";9;9;9;9;9;9
"Elin";-;-;-;-;5;5
"Elio";31;32;31;32;31;32
"Elion";-;-;5;-;5;7
"Elis";14;14;13;14;15;16
"Eljo";13;13;13;12;12;11
"Elko";16;16;16;16;14;14
"Elmar";-;5;5;5;6;6
"Elmas";-;5;6;7;8;9
"Elmaz";5;5;6;5;6;6
"Elmedin";37;42;51;54;55;60
"Elmi";15;18;20;19;18;16
"Elmin";37;41;43;51;58;65
"Elmir";60;63;68;68;67;70
"Elsan";-;-;5;-;5;5
"Elton";-;8;7;8;8;10
"Elvedin";152;148;175;170;172;170
"Elver";8;8;7;7;9;8
"Elvin";50;53;54;53;52;54
"Elvino";8;8;8;8;7;7
"Elvio";10;9;8;8;8;8
"Elvir";394;393;433;425;420;417
"Elvis";1000;1014;1050;1051;1047;1041
"Eman";10;17;22;32;38;47
"Emanuel";183;193;198;209;212;224
"Emanuele";-;-;5;5;7;6
"Emel";-;-;-;-;-;7
"Emerik";60;58;57;57;57;55
"Emil";2292;2259;2237;2208;2172;2140
"Emil Anton";5;5;5;-;-;-
"Emil Franc";5;-;-;-;-;-
"Emil Ivan";5;-;-;-;-;-
"Emil Jožef";6;5;5;5;5;5
"Emil Milan";19;19;18;17;16;16
"Emilij";8;8;8;8;8;8
"Emilijan";147;144;141;138;131;126
"Emilijan Milan";6;6;6;6;6;6
"Emilijo";-;5;5;5;5;5
"Emilio";15;15;14;16;14;15
"Emiljan";22;21;22;21;21;21
"Emin";188;190;208;195;195;202
"Emir";472;491;536;547;555;564
"Emra";5;5;5;5;5;5
"Emrah";24;28;38;43;48;59
"Emran";6;7;10;10;12;12
"Emre";-;-;-;5;5;5
"Emsad";35;32;35;35;34;33
"Emsud";58;60;64;63;65;67
"Emsudin";-;-;5;5;5;5
"Enam";-;-;-;5;5;7
"Enco";6;7;7;7;7;7
"Endi";19;20;23;25;27;30
"Endis";10;10;11;11;11;12
"Endre";9;9;9;8;8;9
"Endrit";17;25;27;31;36;33
"Enei";8;9;10;10;12;12
"Enej";509;590;669;737;798;858
"Enes";445;438;483;474;479;489
"Enez";5;-;5;5;5;-
"Engelbert";66;64;61;60;59;58
"Enid";6;5;5;6;5;6
"Enis";139;133;154;153;158;160
"Eniz";50;52;53;52;51;49
"Ennio";5;-;-;-;-;-
"Enrico";9;8;8;9;9;11
"Enriko";7;7;7;7;7;7
"Ensad";8;11;11;13;14;13
"Ensar";12;12;19;21;25;32
"Enver";304;298;329;314;301;302
"Enzo";7;8;10;10;10;10
"Erazem";154;177;199;228;258;290
"Erblin";-;-;-;-;-;9
"Erdi";-;-;-;-;7;6
"Erdin";-;5;5;-;-;-
"Erdogan";-;-;-;-;-;5
"Erduan";6;5;7;8;8;10
"Erdžan";6;-;5;-;5;-
"Ergin";-;-;-;5;5;5
"Erhan";-;-;8;8;8;9
"Erhard";5;-;-;-;-;-
"Eric";18;21;22;22;22;23
"Erich";15;16;15;16;15;14
"Erih";116;113;112;110;108;107
"Erik";1814;1867;1932;2010;2085;2164
"Erin";-;-;-;5;5;6
"Erion";7;10;13;16;17;22
"Eris";-;-;-;8;8;9
"Erjon";5;5;6;6;9;11
"Erkan";-;-;5;-;-;-
"Ermal";9;10;12;13;17;18
"Ermin";287;289;302;308;308;318
"Erminij";8;7;7;6;6;5
"Erminio";8;7;6;6;6;7
"Ernad";34;38;46;50;44;47
"Ernes";44;48;49;51;52;56
"Ernest";1177;1157;1136;1104;1076;1050
"Ernesto";7;6;6;7;8;7
"Erni";10;10;11;11;10;11
"Ernis";5;5;8;8;9;10
"Ernoe";13;-;-;-;-;-
"Ernst";8;7;7;7;8;8
"Ernö";-;13;13;13;13;13
"Erol";14;16;14;16;17;19
"Eron";-;5;8;8;11;11
"Eros";11;12;12;12;14;15
"Ersan";13;13;14;12;13;15
"Ervin";961;954;953;959;969;973
"Erwin";10;8;9;9;8;8
"Esad";382;380;404;398;395;402
"Esat";26;32;30;31;30;30
"Esed";39;43;46;43;43;47
"Esmin";7;6;6;6;8;9
"Esmir";77;83;92;94;94;93
"Esperij";8;8;8;8;7;7
"Ešef";45;42;43;42;43;42
"Ešref";9;9;10;10;10;10
"Etbin";28;29;28;26;26;26
"Etem";6;6;7;7;7;7
"Ethem";5;5;7;6;6;6
"Etien";20;24;26;32;35;43
"Etienne";8;9;9;10;10;12
"Etjan";7;9;9;9;9;9
"Eugen";39;41;39;37;37;37
"Evald";28;28;28;28;27;28
"Evan";13;16;22;29;34;44
"Evelin";-;-;-;5;5;5
"Evgen";618;609;597;589;579;566
"Evgenij";22;22;22;22;22;23
"Evgeny";-;-;-;5;7;12
"Evstahij";20;20;18;17;17;17
"Ezio";7;8;9;8;7;6
"Fabian";21;25;25;26;27;23
"Fabijan";52;53;58;57;55;56
"Fabijo";10;10;10;10;10;10
"Fabio";43;44;47;51;50;48
"Fabjan";25;25;25;25;26;26
"Fabjo";10;10;10;10;9;9
"Fabrizio";9;10;10;11;11;8
"Fadil";357;357;368;358;352;359
"Fadilj";14;17;17;14;11;10
"Fahir";24;23;21;21;22;22
"Fahredin";6;5;6;6;5;-
"Fahret";6;5;6;6;6;6
"Fahri";7;5;9;8;8;7
"Fahro";-;-;6;7;6;6
"Fahrudin";135;130;155;153;149;153
"Faik";59;62;66;61;62;61
"Fajik";20;20;21;20;20;19
"Fajko";9;9;10;10;10;10
"Faredin";5;6;5;6;6;6
"Faris";8;9;10;13;16;18
"Farko";5;5;-;-;5;5
"Faruk";72;68;77;76;78;75
"Fatih";-;5;5;5;-;-
"Fatlind";7;7;7;7;10;12
"Fatlum";5;10;11;12;14;13
"Fatmir";126;134;151;147;139;138
"Faton";39;43;62;55;54;52
"Fatos";12;12;14;14;13;12
"Faustin";6;6;6;5;5;5
"Fausto";8;8;8;8;8;8
"Fazli";22;20;24;20;22;20
"Fazlija";8;8;8;8;8;7
"Fedahija";-;-;5;5;5;5
"Federico";7;9;9;10;9;8
"Fedja";32;35;41;42;46;52
"Fedor";30;30;30;27;28;28
"Fehim";99;103;105;103;103;102
"Fehmi";12;16;17;15;13;14
"Feho";6;6;6;6;6;6
"Fehrat";-;-;-;-;5;-
"Fehret";12;12;12;12;12;14
"Fehrudin";7;6;7;8;8;8
"Feim";16;16;15;17;16;16
"Fejsal";8;6;7;7;7;7
"Fejzo";12;12;11;10;11;10
"Fejzula";8;8;10;7;7;7
"Felice";-;-;-;-;-;5
"Felicijan";6;6;6;6;6;5
"Feliks";839;816;782;755;726;700
"Feliks Sreèko";15;13;14;13;13;12
"Felix";12;12;10;11;12;13
"Femi";12;14;14;14;11;11
"Feodor";5;5;5;5;-;-
"Ferat";9;10;9;7;6;5
"Ferdi";14;15;16;15;15;14
"Ferdinand";951;918;892;866;848;810
"Ferdo";142;142;140;138;136;130
"Ferenc";48;50;43;47;42;41
"Ferhad";6;-;8;8;7;8
"Ferhat";10;9;9;9;9;9
"Feri";14;13;13;13;14;14
"Ferid";229;229;229;224;222;221
"Ferit";7;8;9;8;8;6
"Feriz";34;36;38;35;36;35
"Ferruccio";10;8;8;8;9;9
"Ferucio";5;5;5;-;-;-
"Feruèo";16;15;14;16;16;15
"Festim";7;10;9;12;13;13
"Feta";5;-;5;5;5;-
"Fetah";8;9;9;10;10;10
"Feti";6;5;7;7;5;6
"Fevzi";-;-;-;5;5;5
"Fidaim";-;7;9;6;5;5
"Fidan";16;20;26;26;23;27
"Fidanèo";5;5;5;-;-;-
"Fikret";404;401;427;424;416;407
"Filip";1828;1985;2149;2335;2518;2736
"Filip Aleksander";5;5;5;5;5;5
"Filip Franc";5;5;6;6;6;6
"Filip Ivan";6;6;5;5;5;5
"Filip Jakob";22;22;21;20;20;21
"Filippo";-;-;-;5;5;7
"Finn";-;-;-;-;5;7
"Firzet";10;8;10;9;9;9
"Fisnik";13;15;16;13;13;15
"Fitim";36;36;45;43;41;47
"Flamur";25;24;27;27;28;31
"Flavio";16;15;16;15;16;15
"Fljorim";5;5;5;-;-;-
"Florent";11;14;11;11;15;17
"Florian";58;55;59;62;63;62
"Florijan";391;392;384;383;380;381
"Florijan Cvetko";9;8;7;7;6;6
"Florim";37;38;39;42;39;40
"Florin";5;-;-;-;-;-
"Florjan";350;348;356;359;363;359
"Flurim";15;19;23;26;24;25
"Fortunat";42;40;39;35;35;34
"Fran";51;54;59;63;69;72
"Franc";31396;30546;29788;29028;28230;27409
"Franc Alojz";10;10;10;10;9;8
"Franc Alojzij";6;6;6;6;6;6
"Franc Andrej";13;12;11;11;10;10
"Franc Anton";20;19;19;16;16;13
"Franc Boris";5;5;5;5;5;5
"Franc Branimir";5;5;-;-;-;-
"Franc Branko";41;39;38;38;37;36
"Franc Dušan";12;12;12;12;12;11
"Franc Emil";6;6;5;5;5;5
"Franc Ferdinand";5;5;5;5;5;-
"Franc Ivan";17;17;17;15;15;15
"Franc Janez";12;12;12;11;11;10
"Franc Jože";8;8;8;8;8;8
"Franc Jožef";46;46;44;38;37;37
"Franc Leopold";5;5;5;5;5;5
"Franc Marijan";8;7;7;7;7;6
"Franc Marjan";26;25;25;25;25;25
"Franc Martin";8;8;8;8;8;8
"Franc Mihael";8;8;7;7;7;6
"Franc Milan";7;7;7;7;7;7
"Franc Pavel";9;9;9;9;8;8
"Franc Peter";9;9;8;8;8;8
"Franc Stanislav";5;5;-;-;-;-
"Franc Valentin";5;5;5;-;-;-
"Franc Vladimir";10;10;9;9;9;9
"France";412;403;395;387;374;367
"Francelj";27;26;26;26;25;25
"Francesco";14;17;17;21;19;19
"Franci";2039;2033;2035;2031;2020;2011
"Franci Branko";5;5;5;5;5;5
"Francisco";5;5;-;-;-;-
"Franco";18;16;20;23;21;23
"Franèek";71;70;70;70;69;69
"Franèišek";2433;2332;2220;2095;1998;1879
"Franèišek Branko";9;9;9;9;9;8
"Frane";35;33;33;33;34;34
"Franek";14;14;14;14;14;14
"Franja";5;-;-;-;-;-
"Franjo";1507;1475;1455;1426;1396;1367
"Frank";32;30;30;31;34;33
"Franko";406;406;405;403;403;404
"Frano";54;55;57;54;52;52
"František";6;-;-;5;-;-
"Franz";25;25;23;24;25;24
"Fred";8;8;7;8;8;8
"Freddy";5;5;5;-;-;-
"Fredi";184;180;182;182;181;178
"Fredo";7;7;7;7;6;6
"Fredy";7;7;7;7;6;6
"Frenk";40;38;42;42;42;41
"Frenki";6;6;6;6;6;6
"Fric";16;16;15;14;15;14
"Friderik";583;562;539;522;508;497
"Friderik Mirko";11;11;11;11;10;9
"Friderik Miroslav";5;5;5;5;5;5
"Frido";5;5;5;5;5;5
"Fridolin";7;7;6;5;5;-
"Fridrih";31;30;30;29;28;29
"Friedrich";6;5;7;6;6;5
"Fritz";-;-;5;5;5;5
"Fuad";137;138;148;143;145;151
"Fuat";6;6;9;8;9;8
"Fulvio";11;10;11;9;10;12
"Gaber";210;234;260;292;318;348
"Gabor";10;5;6;6;6;5
"Gabriel";160;169;186;203;226;248
"Gabriele";6;8;9;9;11;10
"Gabrijel";590;590;587;595;593;595
"Gabro";5;5;5;5;5;5
"Gadaf";-;8;8;7;7;6
"Gael";-;-;-;7;8;10
"Gaetano";5;5;5;-;5;5
"Gafur";11;12;14;13;12;12
"Gafurr";-;-;5;5;6;6
"Gaj";158;181;197;207;216;228
"Gajo";12;12;12;11;10;10
"Gajur";10;10;10;10;10;10
"Gal";1022;1199;1362;1528;1665;1834
"Galib";19;18;21;18;18;17
"Gall";5;5;5;5;6;6
"Gani";58;63;68;63;60;61
"Gašpar";7;5;6;5;5;6
"Gašper";4577;4749;4901;5021;5119;5249
"Gašper Miha";-;-;-;5;5;5
"Gavril";-;-;-;6;-;-
"Gavrilo";14;14;14;15;14;14
"Gavro";20;20;20;20;19;19
"Gazi";6;6;7;7;7;6
"Gazmen";10;12;10;10;9;8
"Gazmend";36;46;51;48;45;47
"Genc";-;-;-;5;-;-
"Gent";-;5;5;6;7;5
"Gentian";7;7;8;7;9;10
"Gentrit";7;9;10;10;12;11
"Georg";37;38;38;36;37;38
"George";21;18;17;20;22;24
"Georgi";15;16;18;19;26;28
"Georgij";9;9;9;9;9;9
"Georgije";6;5;5;5;-;-
"Gerald";7;7;7;6;6;6
"Gerasim";-;-;-;-;5;5
"Gerd";5;-;-;-;-;-
"Gerhard";34;35;38;37;37;35
"German";5;5;5;6;6;6
"Geza";268;257;246;239;227;219
"Gezim";29;33;38;37;36;33
"Gheorghe";5;7;6;5;6;5
"Giancarlo";5;5;5;6;7;6
"Gianfranco";15;16;15;15;16;16
"Giani";9;9;9;9;9;9
"Gianluca";8;9;8;10;7;11
"Gianni";23;23;23;24;22;22
"Gilbert";5;5;5;5;5;5
"Gino";31;30;30;30;30;30
"Giordano";8;9;8;8;7;8
"Giorgio";28;29;30;29;30;30
"Giovanni";30;29;29;29;30;35
"Giuliano";15;16;16;16;16;16
"Giulio";9;8;10;8;10;8
"Giuseppe";30;30;27;28;33;34
"Gjelbrim";-;-;7;-;-;-
"Gjevat";-;5;6;7;6;6
"Gjoko";-;5;7;6;8;8
"Gjorgi";8;8;11;10;9;9
"Gjorgje";5;7;6;5;5;5
"Gjorgji";10;10;12;14;14;16
"Gjuro";13;12;12;12;12;12
"Gleb";-;-;-;-;-;6
"Glen";9;11;11;12;12;14
"Gligor";16;17;18;19;18;18
"Goce";55;55;60;57;53;52
"Gojko";221;223;228;216;215;212
