"TIME","GEO","DURATION","UNIT","Value","Flag and Footnotes"
"2005","Belgium","Less than 1 year","Number","119",""
"2005","Belgium","Less than 5 years","Number","4,098",""
"2005","Belgium","10 years","Number","1,284",""
"2005","Belgium","20 years","Number","799",""
"2005","Belgium","30 years or over","Number","2,625",""
"2005","Bulgaria","Less than 1 year","Number","31",""
"2005","Bulgaria","Less than 5 years","Number","1,723",""
"2005","Bulgaria","10 years","Number","529",""
"2005","Bulgaria","20 years","Number","470",""
"2005","Bulgaria","30 years or over","Number","934",""
"2005","Czech Republic","Less than 1 year","Number","0",""
"2005","Czech Republic","Less than 5 years","Number","4,769",""
"2005","Czech Republic","10 years","Number","1,126",""
"2005","Czech Republic","20 years","Number","953",""
"2005","Czech Republic","30 years or over","Number","1,751",""
"2005","Denmark","Less than 1 year","Number","169",""
"2005","Denmark","Less than 5 years","Number","3,974",""
"2005","Denmark","10 years","Number","656",""
"2005","Denmark","20 years","Number","259",""
"2005","Denmark","30 years or over","Number","777",""
"2005","Germany (including former GDR)","Less than 1 year","Number","59",""
"2005","Germany (including former GDR)","Less than 5 years","Number","25,219",""
"2005","Germany (including former GDR)","10 years","Number","8,958",""
"2005","Germany (including former GDR)","20 years","Number","5,311",""
"2005","Germany (including former GDR)","30 years or over","Number","11,651",""
"2005","Estonia","Less than 1 year","Number","27",""
"2005","Estonia","Less than 5 years","Number","847",""
"2005","Estonia","10 years","Number","144",""
"2005","Estonia","20 years","Number","115",""
"2005","Estonia","30 years or over","Number","237",""
"2005","Ireland","Less than 1 year","Number",":",""
"2005","Ireland","Less than 5 years","Number",":",""
"2005","Ireland","10 years","Number",":",""
"2005","Ireland","20 years","Number",":",""
"2005","Ireland","30 years or over","Number",":",""
"2005","Greece","Less than 1 year","Number","2",""
"2005","Greece","Less than 5 years","Number","2,191",""
"2005","Greece","10 years","Number","632",""
"2005","Greece","20 years","Number","306",""
"2005","Greece","30 years or over","Number","797",""
"2005","Spain","Less than 1 year","Number","0",""
"2005","Spain","Less than 5 years","Number","9,639",""
"2005","Spain","10 years","Number","2,796",""
"2005","Spain","20 years","Number","1,571",""
"2005","Spain","30 years or over","Number","6,410",""
"2005","France","Less than 1 year","Number",":",""
"2005","France","Less than 5 years","Number",":",""
"2005","France","10 years","Number",":",""
"2005","France","20 years","Number",":",""
"2005","France","30 years or over","Number",":",""
"2005","France (metropolitan)","Less than 1 year","Number","117",""
"2005","France (metropolitan)","Less than 5 years","Number","26,542",""
"2005","France (metropolitan)","10 years","Number","5,674",""
"2005","France (metropolitan)","20 years","Number","3,182",""
"2005","France (metropolitan)","30 years or over","Number","14,033",""
"2005","Croatia","Less than 1 year","Number","28",""
"2005","Croatia","Less than 5 years","Number","855",""
"2005","Croatia","10 years","Number","201",""
"2005","Croatia","20 years","Number","144",""
"2005","Croatia","30 years or over","Number","386",""
"2005","Italy","Less than 1 year","Number","0",""
"2005","Italy","Less than 5 years","Number","258",""
"2005","Italy","10 years","Number","2,543",""
"2005","Italy","20 years","Number","1,288",""
"2005","Italy","30 years or over","Number","6,022",""
"2005","Cyprus","Less than 1 year","Number","29",""
"2005","Cyprus","Less than 5 years","Number","440",""
"2005","Cyprus","10 years","Number","56",""
"2005","Cyprus","20 years","Number","28",""
"2005","Cyprus","30 years or over","Number","84",""
"2005","Latvia","Less than 1 year","Number","19",""
"2005","Latvia","Less than 5 years","Number","1,008",""
"2005","Latvia","10 years","Number","280",""
"2005","Latvia","20 years","Number","165",""
"2005","Latvia","30 years or over","Number","243",""
"2005","Lithuania","Less than 1 year","Number","29",""
"2005","Lithuania","Less than 5 years","Number","1,666",""
"2005","Lithuania","10 years","Number","494",""
"2005","Lithuania","20 years","Number","293",""
"2005","Lithuania","30 years or over","Number","547",""
"2005","Luxembourg","Less than 1 year","Number","0",""
"2005","Luxembourg","Less than 5 years","Number","148",""
"2005","Luxembourg","10 years","Number","51",""
"2005","Luxembourg","20 years","Number","23",""
"2005","Luxembourg","30 years or over","Number","55",""
"2005","Hungary","Less than 1 year","Number","60",""
"2005","Hungary","Less than 5 years","Number","4,069",""
"2005","Hungary","10 years","Number","1,079",""
"2005","Hungary","20 years","Number","660",""
"2005","Hungary","30 years or over","Number","1,504",""
"2005","Malta","Less than 1 year","Number",":",""
"2005","Malta","Less than 5 years","Number",":",""
"2005","Malta","10 years","Number",":",""
"2005","Malta","20 years","Number",":",""
"2005","Malta","30 years or over","Number",":",""
"2005","Netherlands","Less than 1 year","Number","225",""
"2005","Netherlands","Less than 5 years","Number","5,435",""
"2005","Netherlands","10 years","Number","1,275",""
"2005","Netherlands","20 years","Number","782",""
"2005","Netherlands","30 years or over","Number","2,331",""
"2005","Austria","Less than 1 year","Number","101",""
"2005","Austria","Less than 5 years","Number","5,363",""
"2005","Austria","10 years","Number","694",""
"2005","Austria","20 years","Number","384",""
"2005","Austria","30 years or over","Number","991",""
"2005","Poland","Less than 1 year","Number","10",""
"2005","Poland","Less than 5 years","Number","7,629",""
"2005","Poland","10 years","Number","2,657",""
"2005","Poland","20 years","Number","2,072",""
"2005","Poland","30 years or over","Number","3,986",""
"2005","Portugal","Less than 1 year","Number","99",""
"2005","Portugal","Less than 5 years","Number","3,626",""
"2005","Portugal","10 years","Number","909",""
"2005","Portugal","20 years","Number","516",""
"2005","Portugal","30 years or over","Number","2,096",""
"2005","Romania","Less than 1 year","Number","237",""
"2005","Romania","Less than 5 years","Number","8,097",""
"2005","Romania","10 years","Number","1,323",""
"2005","Romania","20 years","Number","666",""
"2005","Romania","30 years or over","Number","1,438",""
"2005","Slovenia","Less than 1 year","Number","5",""
"2005","Slovenia","Less than 5 years","Number","318",""
"2005","Slovenia","10 years","Number","95",""
"2005","Slovenia","20 years","Number","80",""
"2005","Slovenia","30 years or over","Number","263",""
"2005","Slovakia","Less than 1 year","Number","15",""
"2005","Slovakia","Less than 5 years","Number","1,428",""
"2005","Slovakia","10 years","Number","479",""
"2005","Slovakia","20 years","Number","365",""
"2005","Slovakia","30 years or over","Number","663",""
"2005","Finland","Less than 1 year","Number","18",""
"2005","Finland","Less than 5 years","Number","2,771",""
"2005","Finland","10 years","Number","445",""
"2005","Finland","20 years","Number","331",""
"2005","Finland","30 years or over","Number","1,144",""
"2005","Sweden","Less than 1 year","Number","115",""
"2005","Sweden","Less than 5 years","Number","4,630",""
"2005","Sweden","10 years","Number","677",""
"2005","Sweden","20 years","Number","449",""
"2005","Sweden","30 years or over","Number","1,274",""
"2005","United Kingdom","Less than 1 year","Number","52",""
"2005","United Kingdom","Less than 5 years","Number","26,207",""
"2005","United Kingdom","10 years","Number","6,532",""
"2005","United Kingdom","20 years","Number","3,684",""
"2005","United Kingdom","30 years or over","Number","11,180",""
"2005","Iceland","Less than 1 year","Number","4",""
"2005","Iceland","Less than 5 years","Number","114",""
"2005","Iceland","10 years","Number","21",""
"2005","Iceland","20 years","Number","12",""
"2005","Iceland","30 years or over","Number","53",""
"2005","Liechtenstein","Less than 1 year","Number",":",""
"2005","Liechtenstein","Less than 5 years","Number",":",""
"2005","Liechtenstein","10 years","Number",":",""
"2005","Liechtenstein","20 years","Number",":",""
"2005","Liechtenstein","30 years or over","Number",":",""
"2005","Norway","Less than 1 year","Number","1",""
"2005","Norway","Less than 5 years","Number","1,729",""
"2005","Norway","10 years","Number","436",""
"2005","Norway","20 years","Number","257",""
"2005","Norway","30 years or over","Number","870",""
"2005","Switzerland","Less than 1 year","Number","19",""
"2005","Switzerland","Less than 5 years","Number","2,174",""
"2005","Switzerland","10 years","Number","951",""
"2005","Switzerland","20 years","Number","539",""
"2005","Switzerland","30 years or over","Number","1,615",""
"2006","Belgium","Less than 1 year","Number","124",""
"2006","Belgium","Less than 5 years","Number","4,097",""
"2006","Belgium","10 years","Number","1,182",""
"2006","Belgium","20 years","Number","706",""
"2006","Belgium","30 years or over","Number","2,665",""
"2006","Bulgaria","Less than 1 year","Number","45",""
"2006","Bulgaria","Less than 5 years","Number","1,945",""
"2006","Bulgaria","10 years","Number","574",""
"2006","Bulgaria","20 years","Number","495",""
"2006","Bulgaria","30 years or over","Number","944",""
"2006","Czech Republic","Less than 1 year","Number","0",""
"2006","Czech Republic","Less than 5 years","Number","4,933",""
"2006","Czech Republic","10 years","Number","1,178",""
"2006","Czech Republic","20 years","Number","915",""
"2006","Czech Republic","30 years or over","Number","1,765",""
"2006","Denmark","Less than 1 year","Number",":",""
"2006","Denmark","Less than 5 years","Number",":",""
"2006","Denmark","10 years","Number",":",""
"2006","Denmark","20 years","Number",":",""
"2006","Denmark","30 years or over","Number",":",""
"2006","Germany (including former GDR)","Less than 1 year","Number","47",""
"2006","Germany (including former GDR)","Less than 5 years","Number","23,646",""
"2006","Germany (including former GDR)","10 years","Number","8,278",""
"2006","Germany (including former GDR)","20 years","Number","5,202",""
"2006","Germany (including former GDR)","30 years or over","Number","11,595",""
"2006","Estonia","Less than 1 year","Number","27",""
"2006","Estonia","Less than 5 years","Number","824",""
"2006","Estonia","10 years","Number","94",""
"2006","Estonia","20 years","Number","120",""
"2006","Estonia","30 years or over","Number","237",""
"2006","Ireland","Less than 1 year","Number",":",""
"2006","Ireland","Less than 5 years","Number",":",""
"2006","Ireland","10 years","Number",":",""
"2006","Ireland","20 years","Number",":",""
"2006","Ireland","30 years or over","Number",":",""
"2006","Greece","Less than 1 year","Number","1",""
"2006","Greece","Less than 5 years","Number","2,054",""
"2006","Greece","10 years","Number","486",""
"2006","Greece","20 years","Number","302",""
"2006","Greece","30 years or over","Number","840",""
"2006","Spain","Less than 1 year","Number","270",""
"2006","Spain","Less than 5 years","Number","18,727",""
"2006","Spain","10 years","Number","4,580",""
"2006","Spain","20 years","Number","3,038",""
"2006","Spain","30 years or over","Number","12,032",""
"2006","France","Less than 1 year","Number","139",""
"2006","France","Less than 5 years","Number","22,999",""
"2006","France","10 years","Number","5,558",""
"2006","France","20 years","Number","3,059",""
"2006","France","30 years or over","Number","14,240",""
"2006","France (metropolitan)","Less than 1 year","Number","138",""
"2006","France (metropolitan)","Less than 5 years","Number","22,775",""
"2006","France (metropolitan)","10 years","Number","5,400",""
"2006","France (metropolitan)","20 years","Number","2,970",""
"2006","France (metropolitan)","30 years or over","Number","13,909",""
"2006","Croatia","Less than 1 year","Number","28",""
"2006","Croatia","Less than 5 years","Number","855",""
"2006","Croatia","10 years","Number","169",""
"2006","Croatia","20 years","Number","115",""
"2006","Croatia","30 years or over","Number","406",""
"2006","Italy","Less than 1 year","Number","0",""
"2006","Italy","Less than 5 years","Number","267",""
"2006","Italy","10 years","Number","2,378",""
"2006","Italy","20 years","Number","1,504",""
"2006","Italy","30 years or over","Number","6,411",""
"2006","Cyprus","Less than 1 year","Number","12",""
"2006","Cyprus","Less than 5 years","Number","559",""
"2006","Cyprus","10 years","Number","43",""
"2006","Cyprus","20 years","Number","31",""
"2006","Cyprus","30 years or over","Number","96",""
"2006","Latvia","Less than 1 year","Number","24",""
"2006","Latvia","Less than 5 years","Number","1,158",""
"2006","Latvia","10 years","Number","273",""
"2006","Latvia","20 years","Number","219",""
"2006","Latvia","30 years or over","Number","295",""
"2006","Lithuania","Less than 1 year","Number","52",""
"2006","Lithuania","Less than 5 years","Number","1,843",""
"2006","Lithuania","10 years","Number","450",""
"2006","Lithuania","20 years","Number","326",""
"2006","Lithuania","30 years or over","Number","572",""
"2006","Luxembourg","Less than 1 year","Number","3",""
"2006","Luxembourg","Less than 5 years","Number","157",""
"2006","Luxembourg","10 years","Number","48",""
"2006","Luxembourg","20 years","Number","22",""
"2006","Luxembourg","30 years or over","Number","74",""
"2006","Hungary","Less than 1 year","Number","72",""
"2006","Hungary","Less than 5 years","Number","4,175",""
"2006","Hungary","10 years","Number","982",""
"2006","Hungary","20 years","Number","658",""
"2006","Hungary","30 years or over","Number","1,573",""
"2006","Malta","Less than 1 year","Number",":",""
"2006","Malta","Less than 5 years","Number",":",""
"2006","Malta","10 years","Number",":",""
"2006","Malta","20 years","Number",":",""
"2006","Malta","30 years or over","Number",":",""
"2006","Netherlands","Less than 1 year","Number","88",""
"2006","Netherlands","Less than 5 years","Number","5,080",""
"2006","Netherlands","10 years","Number","1,248",""
"2006","Netherlands","20 years","Number","848",""
"2006","Netherlands","30 years or over","Number","2,450",""
"2006","Austria","Less than 1 year","Number","91",""
"2006","Austria","Less than 5 years","Number","5,961",""
"2006","Austria","10 years","Number","699",""
"2006","Austria","20 years","Number","394",""
"2006","Austria","30 years or over","Number","1,106",""
"2006","Poland","Less than 1 year","Number","34",""
"2006","Poland","Less than 5 years","Number","8,710",""
"2006","Poland","10 years","Number","2,850",""
"2006","Poland","20 years","Number","1,999",""
"2006","Poland","30 years or over","Number","5,093",""
"2006","Portugal","Less than 1 year","Number","116",""
"2006","Portugal","Less than 5 years","Number","3,546",""
"2006","Portugal","10 years","Number","924",""
"2006","Portugal","20 years","Number","595",""
"2006","Portugal","30 years or over","Number","2,269",""
"2006","Romania","Less than 1 year","Number","224",""
"2006","Romania","Less than 5 years","Number","7,956",""
"2006","Romania","10 years","Number","1,344",""
"2006","Romania","20 years","Number","704",""
"2006","Romania","30 years or over","Number","1,478",""
"2006","Slovenia","Less than 1 year","Number","9",""
"2006","Slovenia","Less than 5 years","Number","286",""
"2006","Slovenia","10 years","Number","81",""
"2006","Slovenia","20 years","Number","74",""
"2006","Slovenia","30 years or over","Number","267",""
"2006","Slovakia","Less than 1 year","Number","14",""
"2006","Slovakia","Less than 5 years","Number","1,541",""
"2006","Slovakia","10 years","Number","459",""
"2006","Slovakia","20 years","Number","409",""
"2006","Slovakia","30 years or over","Number","765",""
"2006","Finland","Less than 1 year","Number","12",""
"2006","Finland","Less than 5 years","Number","2,952",""
"2006","Finland","10 years","Number","443",""
"2006","Finland","20 years","Number","286",""
"2006","Finland","30 years or over","Number","1,205",""
"2006","Sweden","Less than 1 year","Number","117",""
"2006","Sweden","Less than 5 years","Number","5,021",""
"2006","Sweden","10 years","Number","656",""
"2006","Sweden","20 years","Number","401",""
"2006","Sweden","30 years or over","Number","1,208",""
"2006","United Kingdom","Less than 1 year","Number","38",""
"2006","United Kingdom","Less than 5 years","Number","24,664",""
"2006","United Kingdom","10 years","Number","6,189",""
"2006","United Kingdom","20 years","Number","3,704",""
"2006","United Kingdom","30 years or over","Number","11,135",""
"2006","Iceland","Less than 1 year","Number","1",""
"2006","Iceland","Less than 5 years","Number","86",""
"2006","Iceland","10 years","Number","20",""
"2006","Iceland","20 years","Number","6",""
"2006","Iceland","30 years or over","Number","49",""
"2006","Liechtenstein","Less than 1 year","Number","0",""
"2006","Liechtenstein","Less than 5 years","Number","8",""
"2006","Liechtenstein","10 years","Number","3",""
"2006","Liechtenstein","20 years","Number","3",""
"2006","Liechtenstein","30 years or over","Number","4",""
"2006","Norway","Less than 1 year","Number","1",""
"2006","Norway","Less than 5 years","Number","1,661",""
"2006","Norway","10 years","Number","445",""
"2006","Norway","20 years","Number","232",""
"2006","Norway","30 years or over","Number","970",""
"2006","Switzerland","Less than 1 year","Number","8",""
"2006","Switzerland","Less than 5 years","Number","2,122",""
"2006","Switzerland","10 years","Number","876",""
"2006","Switzerland","20 years","Number","573",""
"2006","Switzerland","30 years or over","Number","1,613",""
"2007","Belgium","Less than 1 year","Number","63",""
"2007","Belgium","Less than 5 years","Number","4,565",""
"2007","Belgium","10 years","Number","1,123",""
"2007","Belgium","20 years","Number","718",""
"2007","Belgium","30 years or over","Number","2,947",""
"2007","Bulgaria","Less than 1 year","Number","42",""
"2007","Bulgaria","Less than 5 years","Number","2,162",""
"2007","Bulgaria","10 years","Number","635",""
"2007","Bulgaria","20 years","Number","513",""
"2007","Bulgaria","30 years or over","Number","1,123",""
"2007","Czech Republic","Less than 1 year","Number","52",""
"2007","Czech Republic","Less than 5 years","Number","4,740",""
"2007","Czech Republic","10 years","Number","1,204",""
"2007","Czech Republic","20 years","Number","953",""
"2007","Czech Republic","30 years or over","Number","1,913",""
"2007","Denmark","Less than 1 year","Number","142",""
"2007","Denmark","Less than 5 years","Number","2,978",""
"2007","Denmark","10 years","Number","645",""
"2007","Denmark","20 years","Number","286",""
"2007","Denmark","30 years or over","Number","757",""
"2007","Germany (including former GDR)","Less than 1 year","Number","55",""
"2007","Germany (including former GDR)","Less than 5 years","Number","22,712",""
"2007","Germany (including former GDR)","10 years","Number","8,051",""
"2007","Germany (including former GDR)","20 years","Number","5,323",""
"2007","Germany (including former GDR)","30 years or over","Number","12,095",""
"2007","Estonia","Less than 1 year","Number","26",""
"2007","Estonia","Less than 5 years","Number","901",""
"2007","Estonia","10 years","Number","111",""
"2007","Estonia","20 years","Number","131",""
"2007","Estonia","30 years or over","Number","270",""
"2007","Ireland","Less than 1 year","Number",":",""
"2007","Ireland","Less than 5 years","Number",":",""
"2007","Ireland","10 years","Number",":",""
"2007","Ireland","20 years","Number",":",""
"2007","Ireland","30 years or over","Number",":",""
"2007","Greece","Less than 1 year","Number","1",""
"2007","Greece","Less than 5 years","Number","2,033",""
"2007","Greece","10 years","Number","556",""
"2007","Greece","20 years","Number","373",""
"2007","Greece","30 years or over","Number","903",""
"2007","Spain","Less than 1 year","Number","321",""
"2007","Spain","Less than 5 years","Number","17,749",""
"2007","Spain","10 years","Number","4,629",""
"2007","Spain","20 years","Number","3,364",""
"2007","Spain","30 years or over","Number","13,471",""
"2007","France","Less than 1 year","Number","139",""
"2007","France","Less than 5 years","Number","21,030",""
"2007","France","10 years","Number","5,291",""
"2007","France","20 years","Number","2,894",""
"2007","France","30 years or over","Number","14,911",""
"2007","France (metropolitan)","Less than 1 year","Number","137",""
"2007","France (metropolitan)","Less than 5 years","Number","20,715",""
"2007","France (metropolitan)","10 years","Number","5,158",""
"2007","France (metropolitan)","20 years","Number","2,822",""
"2007","France (metropolitan)","30 years or over","Number","14,605",""
"2007","Croatia","Less than 1 year","Number","34",""
"2007","Croatia","Less than 5 years","Number","798",""
"2007","Croatia","10 years","Number","186",""
"2007","Croatia","20 years","Number","118",""
"2007","Croatia","30 years or over","Number","420",""
"2007","Italy","Less than 1 year","Number","0",""
"2007","Italy","Less than 5 years","Number","192",""
"2007","Italy","10 years","Number","2,481",""
"2007","Italy","20 years","Number","1,641",""
"2007","Italy","30 years or over","Number","6,840",""
"2007","Cyprus","Less than 1 year","Number","13",""
"2007","Cyprus","Less than 5 years","Number","462",""
"2007","Cyprus","10 years","Number","63",""
"2007","Cyprus","20 years","Number","28",""
"2007","Cyprus","30 years or over","Number","88",""
"2007","Latvia","Less than 1 year","Number","29",""
"2007","Latvia","Less than 5 years","Number","1,246",""
"2007","Latvia","10 years","Number",":",""
"2007","Latvia","20 years","Number",":",""
"2007","Latvia","30 years or over","Number","360",""
"2007","Lithuania","Less than 1 year","Number","65",""
"2007","Lithuania","Less than 5 years","Number","1,996",""
"2007","Lithuania","10 years","Number","411",""
"2007","Lithuania","20 years","Number","338",""
"2007","Lithuania","30 years or over","Number","575",""
"2007","Luxembourg","Less than 1 year","Number","4",""
"2007","Luxembourg","Less than 5 years","Number","151",""
"2007","Luxembourg","10 years","Number","42",""
"2007","Luxembourg","20 years","Number","20",""
"2007","Luxembourg","30 years or over","Number","69",""
"2007","Hungary","Less than 1 year","Number","62",""
"2007","Hungary","Less than 5 years","Number","4,146",""
"2007","Hungary","10 years","Number","878",""
"2007","Hungary","20 years","Number","632",""
"2007","Hungary","30 years or over","Number","1,663",""
"2007","Malta","Less than 1 year","Number",":",""
"2007","Malta","Less than 5 years","Number",":",""
"2007","Malta","10 years","Number",":",""
"2007","Malta","20 years","Number",":",""
"2007","Malta","30 years or over","Number",":",""
"2007","Netherlands","Less than 1 year","Number","83",""
"2007","Netherlands","Less than 5 years","Number","4,828",""
"2007","Netherlands","10 years","Number","1,250",""
"2007","Netherlands","20 years","Number","852",""
"2007","Netherlands","30 years or over","Number","2,558",""
"2007","Austria","Less than 1 year","Number","67",""
"2007","Austria","Less than 5 years","Number","5,844",""
"2007","Austria","10 years","Number","722",""
"2007","Austria","20 years","Number","717",""
"2007","Austria","30 years or over","Number","1,147",""
"2007","Poland","Less than 1 year","Number","41",""
"2007","Poland","Less than 5 years","Number","9,180",""
"2007","Poland","10 years","Number","2,618",""
"2007","Poland","20 years","Number","1,713",""
"2007","Poland","30 years or over","Number","4,984",""
"2007","Portugal","Less than 1 year","Number","135",""
"2007","Portugal","Less than 5 years","Number","3,726",""
"2007","Portugal","10 years","Number","1,002",""
"2007","Portugal","20 years","Number","673",""
"2007","Portugal","30 years or over","Number","2,603",""
"2007","Romania","Less than 1 year","Number","183",""
"2007","Romania","Less than 5 years","Number","8,638",""
"2007","Romania","10 years","Number","1,448",""
"2007","Romania","20 years","Number","821",""
"2007","Romania","30 years or over","Number","1,778",""
